2024-07-02 11:34:52.737142;459;H=45;T=34;Hs=23.90453;sp=20;sf=7;rx_timestamp=18130131; rssi=-96; snr=7.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 11:36:18.175187;463;H=51;T=33;Hs=23.69077;sp=20;sf=7;rx_timestamp=103671981; rssi=-85; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 11:37:44.212391;467;H=52;T=33;Hs=24.33203;sp=20;sf=7;rx_timestamp=189203839; rssi=-85; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 11:39:09.255178;471;H=54;T=33;Hs=21.30388;sp=20;sf=7;rx_timestamp=274749690; rssi=-83; snr=7.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 11:40:35.178768;475;H=50;T=33;Hs=22.55077;sp=20;sf=7;rx_timestamp=360277535; rssi=-84; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 11:42:00.719568;479;H=51;T=32;Hs=22.19452;sp=20;sf=7;rx_timestamp=445813363; rssi=-85; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 11:43:26.248215;483;H=51;T=33;Hs=22.94264;sp=20;sf=7;rx_timestamp=531342176; rssi=-85; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 11:44:51.177618;487;H=49;T=36;Hs=23.4414;sp=20;sf=7;rx_timestamp=616867935; rssi=-86; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 11:46:17.211113;491;H=39;T=38;Hs=23.94016;sp=20;sf=7;rx_timestamp=702402779; rssi=-85; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 11:47:42.752299;495;H=38;T=38;Hs=23.90453;sp=20;sf=7;rx_timestamp=787932541; rssi=-86; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 11:49:08.266434;499;H=39;T=38;Hs=23.94016;sp=20;sf=7;rx_timestamp=873458321; rssi=-86; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
