385;H=95;T=22;Hs=0.0;sp=2;sf=7;send_time=1724694846;rx_timestamp=2235430639; rssi=-114; snr=-1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
389;H=95;T=22;Hs=0.0;sp=2;sf=7;send_time=1724694968;rx_timestamp=2357077219; rssi=-114; snr=-1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
393;H=95;T=22;Hs=0.0;sp=2;sf=7;send_time=1724695089;rx_timestamp=2478648972; rssi=-115; snr=-2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
397;H=95;T=22;Hs=0.0;sp=2;sf=7;send_time=1724695211;rx_timestamp=2600215592; rssi=-112; snr=-0.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
401;H=95;T=22;Hs=0.0;sp=2;sf=7;send_time=1724695332;rx_timestamp=2721778926; rssi=-113; snr=-1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
405;H=95;T=22;Hs=0.0;sp=2;sf=7;send_time=1724695454;rx_timestamp=2843343081; rssi=-113; snr=-1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
409;H=95;T=22;Hs=0.0;sp=2;sf=7;send_time=1724695576;rx_timestamp=2964907350; rssi=-114; snr=-2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
413;H=95;T=22;Hs=0.0;sp=2;sf=7;send_time=1724695697;rx_timestamp=3086464931; rssi=-113; snr=-1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
421;H=94;T=21;Hs=0.0;sp=2;sf=7;send_time=1724695940;rx_timestamp=3329592000; rssi=-115; snr=-2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
425;H=94;T=21;Hs=0.0;sp=2;sf=7;send_time=1724696062;rx_timestamp=3451156543; rssi=-113; snr=-1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
429;H=94;T=21;Hs=0.0;sp=2;sf=7;send_time=1724696183;rx_timestamp=3572715911; rssi=-112; snr=-0.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
433;H=94;T=21;Hs=0.0;sp=2;sf=7;send_time=1724696305;rx_timestamp=3694355899; rssi=-114; snr=-1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
437;H=94;T=21;Hs=0.0;sp=2;sf=7;send_time=1724696427;rx_timestamp=3815917893; rssi=-113; snr=-1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
441;H=94;T=21;Hs=0.0;sp=2;sf=7;send_time=1724696548;rx_timestamp=3937483492; rssi=-114; snr=-1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
