2024-07-04 13:30:19.244216;789;H=74;T=26;Hs=72.4617;sp=2;sf=7;rx_timestamp=1557442921; rssi=-110; snr=-0.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:30:42.238074;790;H=74;T=26;Hs=72.4617;sp=2;sf=12;rx_timestamp=1580320227; rssi=-109; snr=1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:31:01.614217;791;H=74;T=26;Hs=72.4617;sp=20;sf=7;rx_timestamp=1599679896; rssi=-96; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:31:24.639895;792;H=74;T=26;Hs=72.4617;sp=20;sf=12;rx_timestamp=1622721853; rssi=-97; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:31:44.595829;793;H=73;T=27;Hs=72.3192;sp=2;sf=7;rx_timestamp=1642979797; rssi=-111; snr=-1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:32:07.577673;794;H=73;T=27;Hs=72.3192;sp=2;sf=12;rx_timestamp=1665861113; rssi=-110; snr=0.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:32:27.143015;795;H=73;T=27;Hs=72.3192;sp=20;sf=7;rx_timestamp=1685218778; rssi=-97; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:32:50.236567;796;H=73;T=27;Hs=72.3192;sp=20;sf=12;rx_timestamp=1708262737; rssi=-96; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:33:10.654862;797;H=73;T=26;Hs=73.13858;sp=2;sf=7;rx_timestamp=1728519707; rssi=-110; snr=-1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:33:33.589146;798;H=73;T=26;Hs=73.13858;sp=2;sf=12;rx_timestamp=1751560668; rssi=-111; snr=-1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:33:53.085666;799;H=73;T=26;Hs=73.13858;sp=20;sf=7;rx_timestamp=1770757702; rssi=-96; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:34:15.616858;800;H=73;T=26;Hs=73.13858;sp=20;sf=12;rx_timestamp=1793800658; rssi=-96; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:34:38.072955;801;H=71;T=27;Hs=72.6042;sp=2;sf=7;rx_timestamp=1816150559; rssi=-111; snr=-1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:35:00.707748;802;H=71;T=27;Hs=72.6042;sp=2;sf=12;rx_timestamp=1839029880; rssi=-110; snr=1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:35:20.105490;803;H=71;T=27;Hs=72.6042;sp=20;sf=7;rx_timestamp=1858387536; rssi=-100; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:35:43.062424;804;H=71;T=27;Hs=72.6042;sp=20;sf=12;rx_timestamp=1881429496; rssi=-96; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:36:04.114172;805;H=71;T=27;Hs=72.39045;sp=2;sf=7;rx_timestamp=1901689477; rssi=-112; snr=-2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:36:26.764484;806;H=71;T=27;Hs=72.39045;sp=2;sf=12;rx_timestamp=1924732426; rssi=-111; snr=-0.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:36:45.562420;807;H=71;T=27;Hs=72.39045;sp=20;sf=7;rx_timestamp=1943928457; rssi=-97; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:37:08.599653;808;H=71;T=27;Hs=72.39045;sp=20;sf=12;rx_timestamp=1966971419; rssi=-97; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:37:29.064107;809;H=74;T=27;Hs=72.35483;sp=2;sf=7;rx_timestamp=1987228365; rssi=-113; snr=-2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:37:52.600079;810;H=74;T=27;Hs=72.35483;sp=2;sf=12;rx_timestamp=2010271318; rssi=-111; snr=0.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:38:11.089520;811;H=74;T=27;Hs=72.35483;sp=20;sf=7;rx_timestamp=2029467350; rssi=-99; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:38:34.805277;812;H=74;T=27;Hs=72.35483;sp=20;sf=12;rx_timestamp=2052509310; rssi=-98; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:38:54.633219;813;H=77;T=27;Hs=72.4617;sp=2;sf=7;rx_timestamp=2072769193; rssi=-115; snr=-4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:39:17.598234;814;H=77;T=27;Hs=72.4617;sp=2;sf=12;rx_timestamp=2095647514; rssi=-113; snr=-1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:39:37.135190;815;H=77;T=27;Hs=72.4617;sp=20;sf=7;rx_timestamp=2115005177; rssi=-96; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:40:00.077584;816;H=77;T=27;Hs=72.4617;sp=20;sf=12;rx_timestamp=2138049143; rssi=-97; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:40:20.135163;817;H=73;T=27;Hs=72.1767;sp=2;sf=7;rx_timestamp=2158305080; rssi=-109; snr=0.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:40:43.124715;818;H=73;T=27;Hs=72.1767;sp=2;sf=12;rx_timestamp=2181184395; rssi=-110; snr=1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:41:02.601209;819;H=73;T=27;Hs=72.1767;sp=20;sf=7;rx_timestamp=2200571057; rssi=-97; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
