2024-07-05 10:15:52.122148;204;H=59;T=33;Hs=61.98789;sp=20;sf=12;rx_timestamp=3473584442; rssi=-104; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 10:16:13.085177;205;H=56;T=33;Hs=62.13039;sp=2;sf=7;rx_timestamp=3493841327; rssi=-119; snr=-6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 10:16:35.624530;206;H=56;T=33;Hs=62.13039;sp=2;sf=12;rx_timestamp=3516883227; rssi=-117; snr=-4.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 10:16:55.120759;207;H=56;T=33;Hs=62.13039;sp=20;sf=7;rx_timestamp=3536076196; rssi=-104; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 10:17:22.568314;208;H=56;T=33;Hs=62.13039;sp=20;sf=12;rx_timestamp=3559120105; rssi=-104; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 10:18:20.660431;211;H=62;T=32;Hs=62.09476;sp=20;sf=7;rx_timestamp=3621610855; rssi=-106; snr=4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 10:18:44.094166;212;H=62;T=32;Hs=62.09476;sp=20;sf=12;rx_timestamp=3644651750; rssi=-104; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 10:19:26.594511;214;H=52;T=35;Hs=61.63164;sp=2;sf=12;rx_timestamp=3687951528; rssi=-119; snr=-5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 10:20:29.112357;217;H=48;T=38;Hs=61.98789;sp=2;sf=7;rx_timestamp=3750446284; rssi=-120; snr=-7.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 10:20:52.633751;218;H=48;T=38;Hs=61.98789;sp=2;sf=12;rx_timestamp=3773488171; rssi=-119; snr=-5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 10:21:57.128623;221;H=44;T=39;Hs=61.66726;sp=2;sf=7;rx_timestamp=3838076914; rssi=-122; snr=-8.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 10:22:20.167805;222;H=44;T=39;Hs=61.66726;sp=2;sf=12;rx_timestamp=3861119811; rssi=-121; snr=-7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
